line,type,weekday,id_crime_category,afluency_distribution,crime_frequency
B,Transbordo,5,5,6707.4,1.0
B,Transbordo,5,6,6707.4,3.0
1,Intermedia,6,6,29863.083333333332,12.0
1,Intermedia,6,11,29863.083333333332,2.0
1,Terminal,6,6,65550.0,1.0
1,Transbordo,6,6,29003.833333333332,1.0
1,Transbordo,6,13,29003.833333333332,1.0
12,Intermedia,6,6,14030.4,2.0
12,Intermedia,6,7,14030.4,1.0
12,Transbordo,6,6,10566.0,1.0
2,Intermedia,6,6,24968.875,15.0
2,Intermedia,6,11,24968.875,2.0
2,Transbordo,6,5,24972.5,1.0
2,Transbordo,6,6,24972.5,4.0
2,Transbordo,6,11,24972.5,1.0
3,Intermedia,6,6,20937.083333333332,8.0
3,Intermedia,6,7,20937.083333333332,1.0
3,Transbordo,6,6,18945.85714285714,2.0
4,Intermedia,6,6,7525.25,1.0
4,Terminal / Transbordo,6,6,8932.5,1.0
4,Transbordo,6,6,6719.75,2.0
5,Transbordo,6,5,6806.75,2.0
6,Intermedia,6,5,10922.42857142857,1.0
6,Intermedia,6,6,10922.42857142857,2.0
6,Terminal / Transbordo,6,6,16746.0,1.0
6,Transbordo,6,6,2089.0,1.0
7,Intermedia,6,5,16039.333333333334,1.0
7,Terminal,6,6,26490.0,1.0
7,Terminal / Transbordo,6,6,28532.0,1.0
7,Transbordo,6,6,11970.666666666666,2.0
7,Transbordo,6,11,11970.666666666666,1.0
7,Transbordo,6,13,11970.666666666666,1.0
8,Intermedia,6,6,15352.083333333334,5.0
8,Terminal / Transbordo,6,7,16762.0,1.0
8,Transbordo,6,5,10593.0,1.0
8,Transbordo,6,6,10593.0,2.0
8,Transbordo,6,11,10593.0,1.0
9,Intermedia,6,6,17122.285714285714,1.0
9,Terminal / Transbordo,6,6,44148.0,1.0
9,Terminal / Transbordo,6,13,44148.0,1.0
9,Transbordo,6,6,10322.0,2.0
A,Intermedia,6,5,17160.571428571428,1.0
A,Intermedia,6,7,17160.571428571428,1.0
B,Intermedia,6,6,15328.57142857143,1.0
B,Intermedia,6,7,15328.57142857143,1.0
B,Transbordo,6,5,8265.6,1.0
